header,group,type,sample
Item Height Unit of Measure,Product Details,System.String,Inches
Item Length,Product Details,System.String,300
Item length Unit,Product Details,System.String,Inches
Item Width Side To Side,Product Details,System.String,100
Item Width Unit,Product Details,System.String,Inches
Is Bulk Pack,Product Details,System.String,"Yes, No"
Master Pack Height,Product Details,System.String,32.4
Master Pack Height Unit,Product Details,System.String,Inches
Master Pack Length,Product Details,System.String,32.4
Master Pack Length Unit,Product Details,System.String,Inches
Master Pack Width,Product Details,System.String,32.4
Master Pack Width Unit,Product Details,System.String,Inches
Master Pack Weight,Product Details,System.String,25.3
Master Pack Weight Unit,Product Details,System.String,Pounds
Fabric Type,Product Details,System.String,"60% Cotton, 40% Polyester"
Fabric Type,Product Details,System.String,"60% Cotton, 40% Polyester"
Fabric Type,Product Details,System.String,"60% Cotton, 40% Polyester"
Fabric Type,Product Details,System.String,"60% Cotton, 40% Polyester"
Care Instructions,Product Details,System.String,Hand Wash
Care Instructions,Product Details,System.String,Hand Wash
Care Instructions,Product Details,System.String,Hand Wash
Care Instructions,Product Details,System.String,Hand Wash
Processor Description,Product Details,System.String,"Intel Pentium, BIONZ, EXR Processor II"
Processor Description,Product Details,System.String,"Intel Pentium, BIONZ, EXR Processor II"
Processor Description,Product Details,System.String,"Intel Pentium, BIONZ, EXR Processor II"
Processor Description,Product Details,System.String,"Intel Pentium, BIONZ, EXR Processor II"
Processor Description,Product Details,System.String,"Intel Pentium, BIONZ, EXR Processor II"
Temperature Rating,Product Details,System.String,Chilled: 33 to 38 degrees
Resolution,Product Details,System.String,"8K, UHD, 1080p"
Specification Met,Product Details,System.String,"FDA, USDA, USP Class VI"
Specification Met,Product Details,System.String,"FDA, USDA, USP Class VI"
Specification Met,Product Details,System.String,"FDA, USDA, USP Class VI"
Specification Met,Product Details,System.String,"FDA, USDA, USP Class VI"
Specification Met,Product Details,System.String,"FDA, USDA, USP Class VI"
Tension Level,Product Details,System.String,"50 pounds, low, medium, high"
Range,Product Details,System.String,"Soprano, 1-4, 5"
Range Unit (Optional),Product Details,System.String,"kHz, metres"
Range,Product Details,System.String,"Soprano, 1-4, 5"
Range Unit (Optional),Product Details,System.String,"kHz, metres"
Range,Product Details,System.String,"Soprano, 1-4, 5"
Range Unit (Optional),Product Details,System.String,"kHz, metres"
Range,Product Details,System.String,"Soprano, 1-4, 5"
Range Unit (Optional),Product Details,System.String,"kHz, metres"
Range,Product Details,System.String,"Soprano, 1-4, 5"
Range Unit (Optional),Product Details,System.String,"kHz, metres"
Is Product Expirable,Product Details,System.String,"Yes, No"
Product Expiration Type,Product Details,System.String,"Expiration Date Required, Shelf Life"
Fulfillment Center Shelf Life,Product Details,System.String,"180, 365"
Fulfillment Center Shelf Life Unit,Product Details,System.String,Days
Measurement Accuracy,Product Details,System.String,+/-0.5%
Sport Type,Product Details,System.String,American Football
Sport Type,Product Details,System.String,American Football
Sport Type,Product Details,System.String,American Football
Roll Diameter String Value,Product Details,System.String,10
Roll Diameter Unit,Product Details,System.String,"Inches, Millimeters"
Roll Length String Value,Product Details,System.String,100
Roll Length Unit,Product Details,System.String,"Inches, Feet"
Roll Width String Value,Product Details,System.String,12
Roll Width Unit,Product Details,System.String,"Inches, Millimeters"
Line Weight,Product Details,System.String,5.0 pounds
Item Length Longer Edge,Product Details,System.String,54
Item Length Unit,Product Details,System.String,"Inches, Centimeters"
Item Width Shorter Edge,Product Details,System.String,30
Item Width Unit,Product Details,System.String,"Inches, Centimeters"
Towel Form Type,Product Details,System.String,Washcloth
